0,1
2180102,"['sap hana', 'sap ase']"
1562662,"['sap ea designer', 'sap powerdesigner', 'sap data warehouse cloud', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap cloud platform', 'sap cloud platform', 'sap hana', 'sap predictive analytics', 'sap hybris']"
842808,"['sap marketing', 'sap marketing', 'sap marketing']"
2517425,"['sap cloud platform integration', 'sap cloud platform']"
1310766,"['sap sybase iq', 'sap sybase iq', 'sap sybase iq', 'sap sybase iq']"
626553,[]
1263543,"['sap hana', 'sap netweaver']"
1877764,"['sap erp', 'sap erp', 'sap erp', 'sap knowledge warehouse', 'sap erp', 'sap hcm', 'sap erp', 'sap erp', 'sap erp', 'sap erp', 'sap knowledge warehouse', 'sap hcm', 'sap hcm', 'sap erp', 'sap hcm', 'sap erp', 'sap erp', 'sap hcm', 'sap hcm', 'sap hcm', 'sap erp']"
2596248,"['sap cloud foundry', 'sap cloud foundry']"
574195,"['sap hana', 'sap business warehouse', 'sap hana', 'sap hana', 'sap hana', 'sap business warehouse']"
2042638,"['sap sybase iq', 'sap business objects', 'sap business objects', 'sap business objects', 'sap business objects', 'sap business objects', 'sap business objects', 'sap business objects', 'sap business objects', 'sap business objects', 'sap business objects']"
1084439,['sap cloud platform']
1021200,"['sap banking', 'sap capital yield', 'sap capital yield', 'sap erp', 'sap capital yield', 'sap erp', 'sap capital yield', 'sap capital yield', 'sap capital yield', 'sap capital yield', 'sap capital yield', 'sap capital yield']"
1836268,"['sap hcm', 'sap hcm', 'sap hcm']"
1643005,['sap fiori']
1305560,['sap netweaver']
2109303,"['sap cloud foundry', 'sap cloud foundry']"
1362506,['sap business warehouse']
413736,"['sap hana', 'sap car', 'sap hana', 'sap car', 'sap car', 'sap car', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana']"
1649030,['sap fiori']
1165959,"['sap cloud foundry', 'sap cloud foundry', 'sap cloud foundry', 'sap cloud foundry']"
950726,"['sap fiori', 'sap cloud foundry', 'sap fiori', 'sap hana', 'sap fiori', 'sap hana', 'sap fiori', 'sap hana', 'sap hana', 'sap hana', 'sap fiori', 'sap fiori', 'sap leonardo', 'sap business suite', 'sap cloud foundry', 'sap hana', 'sap hana', 'sap fiori', 'sap fiori', 'sap cloud foundry', 'sap hana cloud', 'sap cloud foundry', 'sap hana', 'sap fiori', 'sap fiori', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap fiori']"
1667965,['sap fiori']
193629,[]
1054645,['sap netweaver']
1437576,[]
366559,['sap hana']
1157237,"['sap cloud platform', 'sap cloud platform', 'sap cloud platform']"
2233011,['sap hana']
503975,"['sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana']"
394741,"['sap hana cloud', 'sap fiori', 'sap fiori']"
505625,['sap hana']
1635691,"['sap fiori', 'sap hana', 'sap business suite']"
2309891,[]
1089213,[]
515378,[]
2176110,"['sap hana', 'sap hana', 'sap hana', 'sap hana', 'sap hana']"
1065389,[]
598883,['sap cloud platform integration']
2310677,['sap hana']
1230457,"['sap cloud platform', 'sap gateway', 'sap powerdesigner', 'sap powerdesigner']"
